;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6625 ;Airbus A321-231; C4Y185 ; 10 Feb 2010 ;; 12.1 Years ;;;
; B-6626 ;Airbus A321-231; C4Y191 ; 10 Feb 2010 ;; 12.1 Years ;;;
; B-6628 ;Airbus A321-231; C4Y185 ; 10 Mar 2010 ;; 12 Years ;;;
; B-6629 ;Airbus A321-231; C4Y185 ; 17 Mar 2010 ;; 12 Years ;;;
; B-6630 ;Airbus A321-231; C4Y185 ; 18 Mar 2010 ;; 12 Years ;;;
; B-6657 ;Airbus A321-231; C4Y185 ; 9 Apr 2010 ;; 11.9 Years ;;;
; B-6658 ;Airbus A321-231; C4Y185 ; 13 Apr 2010 ;; 11.9 Years ;;;
; B-6659 ;Airbus A321-231; C4Y185 ; 10 May 2010 ;; 11.9 Years ;;;
; B-6660 ;Airbus A321-231; C4Y185 ; 11 May 2010 ;; 11.8 Years ;;;
; B-6661 ;Airbus A321-231; C4Y185 ; 18 Jun 2010 ;; 11.7 Years ;;;
; B-6662 ;Airbus A321-211; C4Y185 ; 11 May 2010 ;; 11.9 Years ;;;
; B-6663 ;Airbus A321-211; C4Y185 ; 17 Jun 2010 ;; 11.7 Years ;;;
; B-6683 ;Airbus A321-211; C4Y185 ; 15 Jul 2010 ;; 11.7 Years ;;;
; B-6685 ;Airbus A321-211; C4Y185 ; 30 Aug 2010 ;; 11.5 Years ;;;
; B-6686 ;Airbus A321-231; C4Y185 ; 27 Jul 2010 ;; 11.6 Years ;;;
; B-6687 ;Airbus A321-231; C4Y185 ; 16 Sep 2010 ; Parked ; 11.5 Years ;;;
; B-6912 ;Airbus A321-231; C4Y185 ; 8 Nov 2012 ;lsd ; 9.5 Years ;;;
; B-6913 ;Airbus A321-231; C4Y185 ; 30 Jul 2012 ;; 9.6 Years ;;;
; B-6978 ;Airbus A321-231; C4Y185 ; 2 Apr 2013 ;lsd ; 9 Years ;;;
; B-6979 ;Airbus A321-231; C4Y185 ; 21 Jun 2013 ;; 8.7 Years ;;;
; B-8423 ;Airbus A321-211(WL); C4Y191 ; 14 Jul 2016 ;lsd ; 5.9 Years ;;;
; B-8425 ;Airbus A321-211(WL); C4Y191 ; 15 Jul 2016 ; Parked, lsd ; 5.7 Years ;;;
; B-8548 ;Airbus A321-211(WL); C4Y191 ; 28 Jun 2016 ;lsd ; 5.7 Years ;;;
; B-8638 ;Airbus A321-211(WL); C4Y191 ; 27 Jul 2016 ;lsd ; 5.6 Years ;;;
; B-8639 ;Airbus A321-211(WL); C4Y191 ; 10 Aug 2016 ;lsd ; 5.6 Years ;;;
; B-8640 ;Airbus A321-211(WL); C4Y191 ; 1 Sep 2016 ;lsd ; 5.5 Years ;;;
; B-8641 ;Airbus A321-211(WL); C4Y191 ; 14 Oct 2016 ;lsd ; 5.4 Years ;;;
; B-8675 ;Airbus A321-211(WL); C4Y191 ; 28 Oct 2016 ;lsd ; 5.4 Years ;;;
; B-8676 ;Airbus A321-211(WL); C4Y191 ; 28 Nov 2016 ;lsd ; 5.3 Years ;;;
; B-8677 ;Airbus A321-211(WL); C4Y191 ; 22 Dec 2016 ;lsd ; 5.2 Years ;;;
; B-8848 ;Airbus A321-211(WL); C4Y191 ; 24 Jan 2017 ;lsd ; 5.1 Years ;;;
; B-8849 ;Airbus A321-211(WL); C4Y191 ; 28 Feb 2017 ;lsd ; 5 Years ;;;
; B-8869 ;Airbus A321-211(WL); C4Y191 ; 13 Mar 2017 ;lsd ; 5 Years ;;;
; B-8900 ;Airbus A321-211(WL); C4Y191 ; 29 Jan 2018 ;lsd ; 4.1 Years ;;;
; B-8966 ;Airbus A321-211(WL); C4Y191 ; 3 May 2017 ;lsd ; 4.9 Years ;;;
; B-8992 ;Airbus A321-211(WL); C4Y191 ; 21 Jun 2017 ;lsd ; 4.7 Years ;;;
; B-8993 ;Airbus A321-211(WL); C4Y191 ; 22 Aug 2017 ;lsd ; 4.6 Years ;;;
; B-8995 ;Airbus A321-211(WL); C4Y191 ; 22 Aug 2017 ;; 4.5 Years ;;;
; B-8996 ;Airbus A321-211(WL); C4Y191 ; 13 Oct 2017 ;lsd ; 4.4 Years ;;;
; B-8997 ;Airbus A321-211(WL); C4Y191 ; 28 Dec 2017 ;lsd ; 4.2 Years ;;;
; B-9933 ;Airbus A321-231; C4Y185 ; 12 Aug 2013 ;lsd ; 8.6 Years ;;;
; B-9960 ;Airbus A321-231; C4Y185 ; 4 Dec 2013 ;lsd ; 8.3 Years ;;;
; B-1087 ;Airbus A321-271N; C4Y191 ; 18 Jun 2018 ;lsd ; 3.7 Years ;;;
; B-1088 ;Airbus A321-271N; C4Y191 ; 17 Sep 2018 ; Parked, lsd ; 3.5 Years ;;;
; B-1089 ;Airbus A321-271N; C4Y191 ; 19 Jun 2018 ;lsd ; 3.7 Years ;;;
; B-1090 ;Airbus A321-271N; C4Y191 ; 19 Jul 2018 ;lsd ; 3.6 Years ;;;
; B-1091 ;Airbus A321-271N; C4Y191 ; 8 Jun 2018 ;lsd ; 3.7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
