;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; PH-BHA ;Boeing 787-9 Dreamliner; C30W48Y216 ; 9 Dec 2015 ;lsd ; HA-001 ; Carnation / Anjer ; 6.4 Years ;;;
; PH-BHC ;Boeing 787-9 Dreamliner; C30W48Y216 ; 12 Nov 2015 ;lsd ; HC-002 ; Sunflower / Zonnebloem ; 6.4 Years ;;;
; PH-BHD ;Boeing 787-9 Dreamliner; C30W48Y216 ; 10 Feb 2016 ;lsd ; HD-003 ; Bougainvillaea / Bougainville ; 6.1 Years ;;;
; PH-BHE ;Boeing 787-9 Dreamliner; C30W48Y216 ; 30 Mar 2016 ;lsd ; HE-004 ; Dahlia ; 6 Years ;;;
; PH-BHF ;Boeing 787-9 Dreamliner; C30W48Y216 ; 22 Apr 2016 ; Parked ; HF-005 ; Hibiscus / 芙蓉 ; 5.9 Years ;;;
; PH-BHG ;Boeing 787-9 Dreamliner; C30W48Y216 ; 29 Jun 2016 ;lsd ; HG-006 ; Mimosa ; 5.7 Years ;;;
; PH-BHH ;Boeing 787-9 Dreamliner; C30W48Y216 ; 26 Aug 2016 ;lsd ; HH-007 ; Jasmijn / Jasmine ; 5.6 Years ;;;
; PH-BHI ;Boeing 787-9 Dreamliner; C30W48Y216 ; 23 Sep 2016 ;lsd ; HI-008 ; Lavendel / Lavender ; 5.5 Years ;;;
; PH-BHL ;Boeing 787-9 Dreamliner; C30W48Y216 ; 19 Jul 2017 ;lsd ; HL-009 ; Lily / Lelie ; 4.6 Years ;;;
; PH-BHM ;Boeing 787-9 Dreamliner; C30W48Y216 ; 22 Aug 2017 ;lsd ; HM-010 ; Margriet / Marguerite ; 4.6 Years ;;;
; PH-BHN ;Boeing 787-9 Dreamliner; C30W48Y216 ; 25 Jan 2018 ;; HN-011 ; Morning Star / Morgenster ; 4.2 Years ;;;
; PH-BHO ;Boeing 787-9 Dreamliner; C30W48Y216 ; 29 Mar 2018 ;; HO-012 ; Orchid / Orchidee ; 4 Years ;;;
; PH-BHP ;Boeing 787-9 Dreamliner; C30W48Y216 ; 16 Aug 2018 ;; HP-013 ; Tulp / Tulip ; 3.6 Years ;;;
