;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-BFJ ;Boeing 777-FDZ; Cargo ; 30 Jun 2016 ;;; 5.7 Years ;;;
; A7-BFK ;Boeing 777-FDZ; Cargo ; 26 Sep 2016 ;;; 5.5 Years ;;;
; A7-BFL ;Boeing 777-FDZ; Cargo ; 8 Mar 2017 ;;; 5 Years ;;;
; A7-BFM ;Boeing 777-FDZ; Cargo ; 29 Sep 2017 ;;; 4.5 Years ;;;
; A7-BFN ;Boeing 777-FDZ; Cargo ; 18 Sep 2018 ;;; 3.6 Years ;;;
; A7-BFO ;Boeing 777-FDZ; Cargo ; 18 Sep 2018 ;;; 3.5 Years ;;;
; A7-BFP ;Boeing 777-F; Cargo ; 13 Mar 2019 ;;; 3 Years ;;;
; A7-BFQ ;Boeing 777-F; Cargo ; 29 Jul 2019 ;;; 2.7 Years ;;;
; A7-BFR ;Boeing 777-F; Cargo ; 30 Sep 2019 ;;; 2.5 Years ;;;
; A7-BFS ;Boeing 777-F; Cargo ; 30 Sep 2019 ;;; 2.4 Years ;;;
; A7-BFT ;Boeing 777-F; Cargo ; 8 Nov 2019 ;;; 2.3 Years ;;;
; A7-BFU ;Boeing 777-F; Cargo ; 23 Nov 2019 ;;; 2.3 Years ;;;
; A7-BFV ;Boeing 777-F; Cargo ; 31 Dec 2020 ;;; 1.7 Years ;;;
; A7-BFW ;Boeing 777-F; Cargo ; 31 Dec 2020 ;;; 1.6 Years ;;;
; A7-BFX ;Boeing 777-F; Cargo ; 31 Dec 2020 ;;; 1.6 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-BFY ;Boeing 777-F; Cargo ; 18 Jun 2021 ;;; 1 Years ;;;
; A7-BFZ ;Boeing 777-F; Cargo ; 18 Jun 2021 ;;; 0.9 Years ;;;
; A7-BCA ;Boeing 787-8 Dreamliner; C22Y232 ; 21 Nov 2012 ;lsd ;; 9.4 Years ;;;
; A7-BCB ;Boeing 787-8 Dreamliner; C22Y232 ; 5 Oct 2012 ;lsd ;; 9.7 Years ;;;
; A7-BCC ;Boeing 787-8 Dreamliner; C22Y232 ; 20 Dec 2012 ;lsd ;; 9.2 Years ;;;
; A7-BCD ;Boeing 787-8 Dreamliner; C22Y232 ; 14 Jun 2013 ;;; 8.8 Years ;;;
; A7-BCE ;Boeing 787-8 Dreamliner; C22Y232 ; 25 Jul 2013 ;;; 8.7 Years ;;;
; A7-BCF ;Boeing 787-8 Dreamliner; C22Y232 ; 11 Oct 2013 ;;; 8.6 Years ;;;
; A7-BCG ;Boeing 787-8 Dreamliner; C22Y232 ; 10 Aug 2013 ;;; 8.6 Years ;;;
; A7-BCH ;Boeing 787-8 Dreamliner; C22Y232 ; 14 Mar 2014 ;;; 8.3 Years ;;;
; A7-BCI ;Boeing 787-8 Dreamliner; C22Y232 ; 15 Mar 2014 ;;; 8.2 Years ;;;
